Platform,Machine,OS,Difficulty,Focus Area,Status,Root Date,Time (hrs),Foothold Vector,PrivEsc Vector,Redo?,Notes
EXAMPLE,Blue (example row - delete me),Windows,Easy,SMB / Kernel,Rooted,2026-07-14,0.5,MS17-010 EternalBlue,SYSTEM via exploit,No,Classic warmup - do without a walkthrough
Proving Grounds,Twiggy,Linux,Easy,Web / Service,Not Started,,,,,,
Proving Grounds,Astronaut,Linux,Easy,Web,Not Started,,,,,,
Proving Grounds,Blogger,Linux,Easy,Web / WordPress,Not Started,,,,,,
Proving Grounds,Boolean,Linux,Medium,Web / API,Not Started,,,,,,
Proving Grounds,Clue,Linux,Medium,Service,Not Started,,,,,,
Proving Grounds,Exfiltrated,Linux,Easy,Web Upload,Not Started,,,,,,
Proving Grounds,Hetemit,Linux,Medium,Web / RCE,Not Started,,,,,,
Proving Grounds,Hunit,Linux,Medium,Service,Not Started,,,,,,
Proving Grounds,Levram,Linux,Easy,Web,Not Started,,,,,,
Proving Grounds,Pelican,Linux,Medium,Service / Deserialization,Not Started,,,,,,
Proving Grounds,Peppo,Linux,Medium,Service,Not Started,,,,,,
Proving Grounds,Sorcerer,Linux,Medium,Service,Not Started,,,,,,
Proving Grounds,Snookums,Linux,Easy,Web,Not Started,,,,,,
Proving Grounds,Payday,Linux,Easy,Web / CMS,Not Started,,,,,,
Proving Grounds,Wombo,Linux,Easy,Service,Not Started,,,,,,
Proving Grounds,Fanatastic,Linux,Medium,Web,Not Started,,,,,,
Proving Grounds,ClamAV,Linux,Easy,Service,Not Started,,,,,,
Proving Grounds,Zino,Linux,Medium,Service,Not Started,,,,,,
Proving Grounds,Algernon,Windows,Easy,Service RCE,Not Started,,,,,,
Proving Grounds,Authby,Windows,Easy,FTP / Web,Not Started,,,,,,
Proving Grounds,Craft,Windows,Medium,Web,Not Started,,,,,,
Proving Grounds,DVR4,Windows,Easy,Web RCE,Not Started,,,,,,
Proving Grounds,Helpdesk,Windows,Easy,Web / Exploit,Not Started,,,,,,
Proving Grounds,Hutch,Windows,Easy,AD / LDAP,Not Started,,,,,,
Proving Grounds,Internal,Windows,Medium,Service,Not Started,,,,,,
Proving Grounds,Jacko,Windows,Medium,Web / Java,Not Started,,,,,,
Proving Grounds,Kevin,Windows,Easy,Service BOF-ish,Not Started,,,,,,
Proving Grounds,Medjed,Windows,Medium,Web,Not Started,,,,,,
Proving Grounds,Nickel,Windows,Medium,Web / Service,Not Started,,,,,,
Proving Grounds,Nukem,Windows,Medium,Service,Not Started,,,,,,
Proving Grounds,Resourced,Windows,Medium,AD,Not Started,,,,,,
Proving Grounds,Shenzi,Windows,Easy,Web / SMB,Not Started,,,,,,
Proving Grounds,Slort,Windows,Easy,Web / Service,Not Started,,,,,,
Proving Grounds,Squid,Windows,Easy,Proxy Pivot,Not Started,,,,,,
HackTheBox,Lame,Linux,Easy,SMB,Not Started,,,,,,
HackTheBox,Beep,Linux,Easy,LFI / Shellshock,Not Started,,,,,,
HackTheBox,Shocker,Linux,Easy,Shellshock,Not Started,,,,,,
HackTheBox,Bashed,Linux,Easy,Web Shell / Cron,Not Started,,,,,,
HackTheBox,Nibbles,Linux,Easy,CMS Upload / Sudo,Not Started,,,,,,
HackTheBox,Sense,Linux,Easy,pfSense,Not Started,,,,,,
HackTheBox,Networked,Linux,Easy,File Upload / Cron,Not Started,,,,,,
HackTheBox,Valentine,Linux,Easy,Heartbleed,Not Started,,,,,,
HackTheBox,Tabby,Linux,Easy,Tomcat / LXD,Not Started,,,,,,
HackTheBox,Admirer,Linux,Easy,Adminer / Python hijack,Not Started,,,,,,
HackTheBox,OpenAdmin,Linux,Easy,ONA / Sudo,Not Started,,,,,,
HackTheBox,Doctor,Linux,Easy,SSTI / Splunk,Not Started,,,,,,
HackTheBox,Delivery,Linux,Easy,Mattermost / Hashcat,Not Started,,,,,,
HackTheBox,Knife,Linux,Easy,PHP Backdoor / Sudo,Not Started,,,,,,
HackTheBox,Cap,Linux,Easy,Capabilities,Not Started,,,,,,
HackTheBox,Traverxec,Linux,Easy,Nostromo / Journalctl,Not Started,,,,,,
HackTheBox,Blocky,Linux,Easy,WordPress / Jar creds,Not Started,,,,,,
HackTheBox,Irked,Linux,Easy,UnrealIRCd / Steghide,Not Started,,,,,,
HackTheBox,SolidState,Linux,Medium,James / rbash,Not Started,,,,,,
HackTheBox,Poison,Linux,Medium,LFI / VNC,Not Started,,,,,,
HackTheBox,Magic,Linux,Medium,Upload / mysqldump,Not Started,,,,,,
HackTheBox,Passage,Linux,Medium,CuteNews / USBCreator,Not Started,,,,,,
HackTheBox,Pit,Linux,Medium,SNMP / SeedDMS,Not Started,,,,,,
HackTheBox,Mango,Linux,Medium,NoSQL Injection,Not Started,,,,,,
HackTheBox,Sunday,Linux,Medium,Finger / Shadow,Not Started,,,,,,
HackTheBox,Legacy,Windows,Easy,MS08-067,Not Started,,,,,,
HackTheBox,Blue,Windows,Easy,MS17-010,Not Started,,,,,,
HackTheBox,Devel,Windows,Easy,FTP Upload / Kernel,Not Started,,,,,,
HackTheBox,Optimum,Windows,Easy,HFS / MS16-032,Not Started,,,,,,
HackTheBox,Granny,Windows,Easy,WebDAV / Churrasco,Not Started,,,,,,
HackTheBox,Grandpa,Windows,Easy,WebDAV / Kernel,Not Started,,,,,,
HackTheBox,Jerry,Windows,Easy,Tomcat WAR,Not Started,,,,,,
HackTheBox,Arctic,Windows,Easy,ColdFusion,Not Started,,,,,,
HackTheBox,Bounty,Windows,Easy,web.config / JuicyPotato,Not Started,,,,,,
HackTheBox,Bastard,Windows,Medium,Drupalgeddon / Kernel,Not Started,,,,,,
HackTheBox,Chatterbox,Windows,Medium,AChat BOF,Not Started,,,,,,
HackTheBox,Silo,Windows,Medium,Oracle DB,Not Started,,,,,,
HackTheBox,Bastion,Windows,Easy,VHD / mRemoteNG,Not Started,,,,,,
HackTheBox,Access,Windows,Easy,mdb/pst / runas,Not Started,,,,,,
HackTheBox,Servmon,Windows,Easy,NVMS / NSClient++,Not Started,,,,,,
HackTheBox,Remote,Windows,Easy,Umbraco / TeamViewer,Not Started,,,,,,
HackTheBox,Buff,Windows,Easy,Gym CMS / CloudMe BOF,Not Started,,,,,,
HackTheBox,Omni,Windows,Easy,Windows IoT,Not Started,,,,,,
HackTheBox,Love,Windows,Easy,SSRF / AlwaysInstallElevated,Not Started,,,,,,
HackTheBox,SecNotes,Windows,Medium,SQLi / SMB / WSL,Not Started,,,,,,
HackTheBox,Active,Windows AD,Easy,GPP / Kerberoast,Not Started,,,,,,
HackTheBox,Forest,Windows AD,Easy,AS-REP / DCSync,Not Started,,,,,,
HackTheBox,Sauna,Windows AD,Easy,AS-REP / AutoLogon / DCSync,Not Started,,,,,,
HackTheBox,Monteverde,Windows AD,Medium,Azure AD Sync,Not Started,,,,,,
HackTheBox,Resolute,Windows AD,Medium,DnsAdmins,Not Started,,,,,,
HackTheBox,Cascade,Windows AD,Medium,LDAP / AD Recycle Bin,Not Started,,,,,,
HackTheBox,Search,Windows AD,Medium,gMSA / Kerberoast,Not Started,,,,,,
HackTheBox,Intelligence,Windows AD,Medium,DNS / gMSA / RBCD,Not Started,,,,,,
HackTheBox,Blackfield,Windows AD,Hard,AS-REP / Backup Operators,Not Started,,,,,,
HackTheBox,Nest,Windows AD,Medium,SMB Enum / VB.NET,Not Started,,,,,,
